2025-06-18 10:13:01,649 - INFO - Creado estándar para producto 10210241049, proceso: 2320, máquina 1601
2025-06-18 10:13:01,652 - INFO - Creado estándar para producto 10210241049, proceso: 3060, máquina 2005
2025-06-18 10:13:01,655 - INFO - Creado estándar para producto 10210241049, proceso: 6090, máquina 6010
2025-06-18 10:13:01,656 - INFO - Creado estándar para producto 10210241286, proceso: 1020, máquina 1002
2025-06-18 10:13:01,662 - INFO - Creado estándar para producto 10210241286, proceso: 2150, máquina 1203
2025-06-18 10:13:01,664 - INFO - Creado estándar para producto 10210241286, proceso: 2370, máquina 1402
2025-06-18 10:13:01,667 - INFO - Creado estándar para producto 10210241286, proceso: 2320, máquina 1601
2025-06-18 10:13:01,670 - INFO - Creado estándar para producto 10210241286, proceso: 3060, máquina 2002
2025-06-18 10:13:01,672 - INFO - Creado estándar para producto 10210241367, proceso: 1020, máquina 1002
2025-06-18 10:13:01,674 - INFO - Creado estándar para producto 10210241367, proceso: 2150, máquina 1203
2025-06-18 10:13:01,678 - INFO - Creado estándar para producto 10210241367, proceso: 2370, máquina 1402
2025-06-18 10:13:01,680 - INFO - Creado estándar para producto 10210241367, proceso: 2320, máquina 1601
2025-06-18 10:13:01,682 - INFO - Creado estándar para producto 10210241367, proceso: 3060, máquina 2002
